Id	WT30_a	WT30_b	WT30_c	Fluco_a	Fluco_b	Fluco_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.Fluco_a	norm.Fluco_b	norm.Fluco_c	baseMean	WT	Fluco	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_00002	863	812	948	380	270	671	505	816	890	446	496	550	617.01	737	497	0.676	-0.565	0.0229207188774277	0.192409554661766	0.0481	0.036	0.0426	0.0426	TRUE	0.9164
CNAG_00003	618	344	407	332	209	432	362	345	382	390	384	354	369.46	363	376	1.033	0.047	0.767909921143402	0.9110132346682	0	0.0412	0.0155	0.0155	TRUE	0.0326
CNAG_00004	1675	1301	1408	964	610	1298	981	1307	1321	1131	1121	1063	1153.99	1203	1105	0.919	-0.122	0.48612806362	0.765079538135001	0.0139	0.0324	0.021	0.021	TRUE	0.319
CNAG_00005	1313	808	902	565	234	974	769	811	846	663	430	798	719.6	809	630	0.782	-0.354	0.141579646478096	0.450790462555923	0.0427	0.0349	0.0404	0.0404	TRUE	0.5055
CNAG_00006	9114	4985	5180	4748	3380	5343	5338	5006	4861	5572	6209	4377	5227.13	5068	5386	1.062	0.087	0.615900571044908	0.839858025956219	0.0145	0.0291	0.0214	0.0214	TRUE	0.3292
CNAG_00007	6404	3866	4440	2623	1825	3980	3751	3883	4166	3078	3353	3260	3581.75	3933	3230	0.821	-0.284	0.0209340271922051	0.182871132457668	0.002	0.0296	0.0106	0.0106	TRUE	0.0327
CNAG_00008	4567	2516	2576	1939	1105	3064	2675	2527	2417	2275	2030	2510	2405.67	2540	2272	0.895	-0.16	0.270987455488647	0.59922844406317	0.0062	0.0302	0.0147	0.0147	TRUE	0.1026
CNAG_00009	2213	1438	1498	1166	652	1442	1296	1444	1406	1368	1198	1181	1315.54	1382	1249	0.904	-0.145	0.306903345394874	0.630721159286853	0.0038	0.0319	0.0137	0.0137	TRUE	0.0841
CNAG_00010	2386	1388	1909	1237	536	2101	1397	1394	1791	1452	985	1721	1456.67	1527	1386	0.909	-0.138	0.563498469394721	0.813503940201544	0.0481	0.0315	0.0404	0.0404	TRUE	0.4412
CNAG_00011	2015	1232	1419	1213	1092	1603	1180	1237	1332	1424	2006	1313	1415.27	1250	1581	1.263	0.337	0.0962741951340702	0.392786412735488	0.0285	0.0316	0.0289	0.0289	TRUE	0.6538
