Id	WT30_a	WT30_b	WT30_c	Fluco_a	Fluco_b	Fluco_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.Fluco_a	norm.Fluco_b	norm.Fluco_c	baseMean	WT	Fluco	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_01599	256	103	139	39	22	47	150	103	130	46	40	38	84.75	128	41	0.323	-1.629	6.13377346449238e-08	1.86495921765637e-05	0	0.0849	0.0473	0.0473	TRUE	0.1299
CNAG_01768	8231	5038	5890	2818	1851	4340	4821	5060	5527	3307	3400	3555	4278.28	5136	3421	0.666	-0.586	3.53840162817339e-06	0.000579299856304798	0.0028	0.0293	0.0112	0.0112	TRUE	0.0541
CNAG_00024	39337	26011	25388	13880	7752	20515	23038	26123	23823	16289	14241	16805	20053.05	24328	15778	0.649	-0.624	4.8691695488242e-06	0.000774726037757982	0.0058	0.0285	0.0134	0.0134	TRUE	0.0885
CNAG_02270	1097	545	608	273	133	439	642	547	571	320	244	360	447.44	587	308	0.528	-0.921	5.31310981847583e-06	0.000807719195023051	0.018	0.039	0.0267	0.0267	TRUE	0.328
CNAG_01428	63970	35574	35180	14191	6494	27826	37464	35727	33011	16654	11930	22793	26263.31	35401	17126	0.484	-1.047	1.28969248508022e-05	0.00147047973522092	0.0525	0.0284	0.0415	0.0415	TRUE	0.6224
CNAG_01170	83369	49301	52474	27365	14616	43267	48825	49514	49239	32114	26851	35442	40330.73	49193	31469	0.64	-0.644	1.93219050926032e-05	0.00201383106413019	0.0095	0.0283	0.0164	0.0164	TRUE	0.2014
CNAG_03140	19357	14069	12882	7022	4128	10515	11336	14130	12088	8241	7584	8613	10331.89	12518	8146	0.651	-0.62	2.70341201635583e-05	0.00261534632188364	0.0086	0.0287	0.0156	0.0156	TRUE	0.155
CNAG_06758	1180	586	558	229	151	478	691	589	524	269	277	392	456.81	601	313	0.522	-0.938	2.98072363356072e-05	0.00284058513437092	0.0303	0.0387	0.0337	0.0337	TRUE	0.5796
CNAG_02754	78317	43578	49600	26711	13041	38067	45867	43766	46542	31346	23958	31182	37110.12	45392	28829	0.635	-0.655	3.37635166454065e-05	0.00307971505401315	0.0112	0.0283	0.0179	0.0179	TRUE	0.2669
CNAG_00487	657	336	338	138	88	275	385	337	317	162	162	225	264.71	346	183	0.532	-0.912	4.07368815922093e-05	0.00356308204063365	0.0188	0.0464	0.031	0.031	TRUE	0.4736
CNAG_03524	4088	3283	2832	1349	881	2251	2394	3297	2657	1583	1618	1844	2232.36	2783	1682	0.605	-0.725	4.20603320051156e-05	0.00362912459260356	0.0167	0.0304	0.0221	0.0221	TRUE	0.317
CNAG_02532	1597	502	648	296	153	413	935	504	608	347	281	338	502.37	682	322	0.472	-1.082	4.44341751954968e-05	0.00368457413796424	0.0571	0.0378	0.048	0.048	TRUE	0.6002
CNAG_00077	10897	5823	4876	2894	1389	4340	6382	5848	4575	3396	2552	3555	4384.73	5602	3168	0.566	-0.822	5.14747057565108e-05	0.00421366661865797	0.0278	0.0293	0.0294	0.0294	TRUE	0.347
CNAG_04762	90998	42347	45443	24533	11368	36763	53293	42530	42641	28790	20884	30114	36375.46	46155	26596	0.576	-0.795	5.2760783575078e-05	0.00426427345730219	0.0265	0.0283	0.0278	0.0278	TRUE	0.4313
CNAG_01951	74577	41966	42873	25462	12919	36124	43676	42147	40230	29881	23733	29591	34876.28	42018	27735	0.66	-0.599	5.47478059222304e-05	0.00433788186710219	0.0086	0.0283	0.0159	0.0159	TRUE	0.1945
CNAG_00821	45084	26436	33302	15296	7212	23123	26404	26550	31249	17950	13249	18941	22390.5	28068	16713	0.596	-0.748	5.69389516424243e-05	0.0044336000760595	0.0213	0.0284	0.0248	0.0248	TRUE	0.4011
CNAG_04114	73681	40495	48326	21203	8705	34575	43152	40670	45347	24883	15992	28322	33060.66	43056	23066	0.536	-0.9	6.54040157939352e-05	0.00479659681417181	0.0395	0.0284	0.0366	0.0366	TRUE	0.8792
CNAG_06993	7858	5523	5490	2982	1836	4468	4602	5547	5152	3499	3373	3660	4305.45	5100	3511	0.689	-0.538	7.99500082384961e-05	0.00567200891780886	0.0048	0.0293	0.0131	0.0131	TRUE	0.0895
CNAG_01600	3076	1608	2110	671	244	1374	1801	1615	1980	787	448	1125	1292.92	1799	787	0.439	-1.189	9.61256260763642e-05	0.00633905106091258	0.0963	0.0319	0.0659	0.0659	TRUE	0.4957
