Id	WT30_a	WT30_b	WT30_c	Fluco_a	Fluco_b	Fluco_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.Fluco_a	norm.Fluco_b	norm.Fluco_c	baseMean	WT	Fluco	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_00854	4804	2555	2954	8592	4503	11816	2813	2566	2772	10083	8272	9679	6030.97	2717	9345	3.44	1.782	1.39713568080249e-36	8.9207113219239e-33	0.006	0.029	0.0141	0.0141	TRUE	0.1222
CNAG_00040	10003	7018	6308	16721	9826	22581	5858	7048	5919	19623	18051	18497	12499.45	6275	18724	2.984	1.577	7.81152623826104e-30	2.49382975156484e-26	0.0065	0.0286	0.0138	0.0138	TRUE	0.1415
CNAG_02896	9963	7537	6610	19725	12052	21586	5835	7569	6202	23148	22141	17682	13762.92	6535	20990	3.212	1.683	6.01933762785146e-21	1.28111569179439e-17	0.0192	0.0286	0.0231	0.0231	TRUE	0.2336
CNAG_04804	7041	4582	3846	10703	6479	12628	4124	4602	3609	12560	11903	10344	7856.88	4112	11602	2.822	1.497	9.33219918716666e-21	1.48965229525148e-17	0.0119	0.0288	0.0183	0.0183	TRUE	0.1389
CNAG_01129	4412	2782	2389	6531	4033	7631	2584	2794	2242	7664	7409	6251	4823.98	2540	7108	2.798	1.484	1.9140216804258e-20	2.44420568590375e-17	0.0112	0.0292	0.0182	0.0182	TRUE	0.1366
CNAG_03819	12811	9155	9188	19254	10075	23805	7503	9194	8622	22595	18509	19500	14320.42	8440	20201	2.394	1.259	3.93952709955753e-16	4.19231342177913e-13	0.0106	0.0285	0.0172	0.0172	TRUE	0.1315
CNAG_00519	11906	6993	5562	15376	10918	17592	6973	7023	5219	18044	20057	14410	11954.52	6405	17504	2.732	1.45	2.02464774957497e-13	1.84676798300517e-10	0.0261	0.0286	0.028	0.028	TRUE	0.2218
CNAG_02830	7095	4132	4745	9624	4418	14524	4155	4150	4452	11294	8116	11897	7344.18	4252	10436	2.455	1.296	2.0458824402288e-12	1.63286992260761e-09	0.0195	0.0289	0.0243	0.0243	TRUE	0.4599
CNAG_06644	13181	8066	6800	15778	9857	17090	7719	8101	6381	18516	18108	13999	12137.42	7400	16874	2.28	1.189	3.1826378215349e-11	2.2579047211667e-08	0.0183	0.0286	0.023	0.023	TRUE	0.2723
CNAG_00733	3090	1538	1749	3037	1597	4594	1810	1545	1641	3564	2934	3763	2542.75	1665	3420	2.055	1.039	1.03942388067554e-10	6.6367214781133e-08	0.0106	0.0301	0.0182	0.0182	TRUE	0.1854
CNAG_04747	2590	1538	1318	2474	1783	3292	1517	1545	1237	2903	3276	2697	2195.62	1433	2959	2.063	1.045	1.58698900616782e-10	9.21174982216503e-08	0.0112	0.0304	0.0187	0.0187	TRUE	0.1718
CNAG_02552	2010	1386	1319	2120	1403	2684	1177	1392	1238	2488	2577	2199	1845.12	1269	2421	1.908	0.932	2.94654570629802e-10	1.56780786122607e-07	0.0063	0.0308	0.0152	0.0152	TRUE	0.0861
CNAG_04119	4604	2768	2606	3930	2356	5694	2696	2780	2445	4612	4328	4664	3587.67	2640	4535	1.718	0.781	6.3158293594506e-10	3.10204388154554e-07	0.0025	0.0296	0.0112	0.0112	TRUE	0.0505
CNAG_02297	1856	1233	1220	1825	1510	2652	1087	1238	1145	2142	2774	2172	1759.69	1157	2363	2.041	1.03	6.82686814213171e-10	3.11353950625079e-07	0.0126	0.0309	0.0194	0.0194	TRUE	0.2759
CNAG_07943	548	218	276	467	361	810	321	219	259	548	663	664	445.6	266	625	2.338	1.225	4.85868937551596e-09	2.06818211084463e-06	0.0215	0.039	0.029	0.029	TRUE	0.3825
CNAG_06534	11799	6876	7120	11651	5976	13910	6910	6906	6681	13673	10978	11394	9423.74	6832	12015	1.759	0.815	1.10636129717803e-08	4.41507305155106e-06	0.0073	0.0287	0.0145	0.0145	TRUE	0.178
