Id	WT30_a	WT30_b	WT30_c	SDS_a	SDS_b	SDS_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.SDS_a	norm.SDS_b	norm.SDS_c	baseMean	WT	SDS	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_00002	863	812	948	599	836	521	612	988	1073	659	665	619	769.26	891	648	0.728	-0.457	0.035046098982978	0.115548198008049	0.0428	0.0215	0.0326	0.0326	TRUE	0.9132
CNAG_00003	618	344	407	502	613	435	438	419	461	552	488	517	479	439	519	1.18	0.239	0.0722403907718065	0.193573421657207	0	0.0256	0.0106	0.0106	TRUE	0.0369
CNAG_00004	1675	1301	1408	1155	1443	1081	1188	1583	1593	1270	1148	1284	1344.45	1455	1234	0.849	-0.236	0.126946985401556	0.285657687678726	0.0149	0.0185	0.0164	0.0164	TRUE	0.3162
CNAG_00005	1313	808	902	676	884	625	931	983	1021	744	703	743	854.04	978	730	0.746	-0.422	0.000156054007077183	0.00178206746210282	0	0.0208	0.0078	0.0078	TRUE	0.0223
CNAG_00006	9114	4985	5180	5497	7002	4601	6463	6065	5861	6047	5570	5467	5912.17	6130	5695	0.929	-0.107	0.277255566251917	0.470131827289934	0.0025	0.0155	0.0068	0.0068	TRUE	0.0355
CNAG_00007	6404	3866	4440	3796	4954	3403	4541	4704	5024	4175	3941	4044	4404.79	4756	4053	0.852	-0.231	0.0133572043101853	0.0579210739332973	0.0014	0.0158	0.006	0.006	TRUE	0.0295
CNAG_00008	4567	2516	2576	2423	3639	2465	3239	3061	2915	2665	2895	2929	2950.59	3072	2830	0.921	-0.119	0.241943892884931	0.432489056812231	0.0022	0.0164	0.0071	0.0071	TRUE	0.0312
CNAG_00009	2213	1438	1498	1093	1533	1191	1569	1750	1695	1202	1220	1415	1475.14	1671	1279	0.765	-0.386	0.00144745183826433	0.0103660172831137	0.0048	0.0182	0.0099	0.0099	TRUE	0.1027
CNAG_00010	2386	1388	1909	2062	3257	2285	1692	1689	2160	2268	2591	2715	2185.83	1847	2525	1.367	0.452	0.00222142625874837	0.0145703219408428	0.0143	0.017	0.0152	0.0152	TRUE	0.2645
CNAG_00011	2015	1232	1419	1274	1828	1180	1429	1499	1606	1401	1454	1402	1465.18	1511	1419	0.94	-0.089	0.390834647609586	0.584665771007662	0.0014	0.0182	0.0071	0.0071	TRUE	0.036
CNAG_00012	4209	1623	1757	2255	2991	2012	2985	1975	1988	2480	2379	2391	2366.33	2316	2417	1.043	0.06	0.7390048228626	0.851979861311884	0.0289	0.0168	0.0233	0.0233	TRUE	0.7794
CNAG_00013	1656	618	802	820	1350	853	1174	752	907	902	1074	1014	970.53	944	997	1.054	0.075	0.688377491008829	0.819192164243179	0.028	0.02	0.0243	0.0243	TRUE	0.4294
CNAG_00014	976	778	818	676	983	624	692	947	926	744	782	741	805.21	855	756	0.886	-0.175	0.275573055517408	0.468640035736977	0.0143	0.0211	0.0172	0.0172	TRUE	0.3403
CNAG_00015	439	321	431	500	763	453	311	391	488	550	607	538	480.8	397	565	1.43	0.516	0.00802142653417169	0.0392709290809589	0.0237	0.0256	0.0251	0.0251	TRUE	0.3557
CNAG_00016	4643	2520	2882	2526	3428	1954	3292	3066	3261	2779	2727	2322	2907.8	3206	2609	0.814	-0.297	0.00987143109816987	0.0462667903993007	0.0048	0.0164	0.0092	0.0092	TRUE	0.1116
CNAG_00017	1259	724	639	639	769	493	893	881	723	703	612	586	732.85	832	634	0.761	-0.395	0.00851530480849265	0.0412211257753013	0.0099	0.0218	0.0148	0.0148	TRUE	0.1548
CNAG_00018	3597	1895	2261	1831	2761	1931	2551	2306	2558	2014	2197	2294	2319.93	2472	2168	0.877	-0.189	0.0832074604490549	0.213313766935343	0.0032	0.0169	0.0082	0.0082	TRUE	0.0465
CNAG_00019	6121	3814	4727	3533	4639	2837	4341	4640	5348	3886	3691	3371	4212.85	4776	3649	0.764	-0.388	0.00195376547890641	0.0131865166925489	0.008	0.0158	0.0111	0.0111	TRUE	0.1337
CNAG_00020	3982	1549	1522	1905	2531	1756	2824	1885	1722	2095	2014	2087	2104.32	2144	2065	0.963	-0.055	0.77747590759225	0.873420839041021	0.0321	0.0171	0.0268	0.0268	TRUE	0.94
CNAG_00021	2057	526	689	735	1204	858	1459	640	780	808	958	1019	944.01	960	928	0.966	-0.049	0.862828934096458	0.926195921342542	0.1004	0.0202	0.0574	0.0574	TRUE	2.2975
CNAG_00022	1548	766	1270	1111	1947	1232	1098	932	1437	1222	1549	1464	1283.59	1156	1412	1.222	0.289	0.125924379527338	0.284597805278769	0.0309	0.0187	0.0249	0.0249	TRUE	0.5389
CNAG_00023	526	301	303	312	399	217	373	366	343	343	317	258	333.42	361	306	0.849	-0.235	0.16315072349184	0.33734396546392	0.0072	0.0304	0.0175	0.0175	TRUE	0.2051
CNAG_00024	39337	26011	25388	24716	29652	21187	27895	31646	28726	27187	23590	25175	27369.75	29422	25317	0.86	-0.217	0.0424760674261458	0.132995125467257	0.0047	0.0148	0.0082	0.0082	TRUE	0.0535
CNAG_00025	2751	1806	1652	1736	2260	1688	1951	2197	1869	1910	1798	2006	1955.08	2006	1905	0.949	-0.075	0.518135910316281	0.698006784746446	0.0043	0.0173	0.0092	0.0092	TRUE	0.0831
CNAG_00026	10010	6058	6836	6411	8614	5850	7098	7370	7735	7052	6853	6951	7176.58	7401	6952	0.939	-0.09	0.293241462282969	0.488519675068311	8e-04	0.0153	0.0052	0.0052	TRUE	0.019
CNAG_00027	1981	1105	1043	1001	1430	971	1405	1344	1180	1101	1138	1154	1220.3	1310	1131	0.863	-0.213	0.0713655480121303	0.192140193179146	0.0036	0.0189	0.0092	0.0092	TRUE	0.0895
CNAG_00028	1223	836	976	840	1179	892	867	1017	1104	924	938	1060	985.09	996	974	0.978	-0.031	0.825927381624828	0.905649070683845	0.0094	0.0199	0.0137	0.0137	TRUE	0.1583
CNAG_00029	251	142	168	145	195	137	178	173	190	159	155	163	169.71	180	159	0.882	-0.181	0.314615329103329	0.511438437674683	0	0.0457	0.0173	0.0173	TRUE	0.0228
CNAG_00030	403	146	182	226	317	223	286	178	206	249	252	265	239.18	223	255	1.137	0.186	0.403807656649207	0.598344664058318	0.0268	0.0367	0.0313	0.0313	TRUE	0.7031
CNAG_00031	1773	1108	1208	1120	1543	1061	1257	1348	1367	1232	1228	1261	1282.06	1324	1240	0.937	-0.094	0.354154972196414	0.551395551293865	0	0.0187	0.0066	0.0066	TRUE	0.0243
CNAG_00032	149	78	102	104	123	98	106	95	115	114	98	116	107.44	105	109	1.036	0.051	0.823312123917818	0.904457027093258	0	0.0638	0.0287	0.0287	TRUE	0.0963
CNAG_00034	71684	42200	43612	44458	52024	35719	50833	51343	49346	48902	41388	42442	47375.65	50507	44244	0.876	-0.191	0.0675709464151779	0.18463584149385	0.0044	0.0147	0.0079	0.0079	TRUE	0.1038
CNAG_00035	836	522	478	529	839	573	593	635	541	582	667	681	616.49	590	643	1.092	0.127	0.361658614870397	0.55787125678983	0.0048	0.0232	0.0122	0.0122	TRUE	0.0812
CNAG_00036	3244	1991	1528	1439	1529	927	2300	2422	1729	1583	1216	1101	1725.4	2150	1300	0.605	-0.726	0.00014270918675096	0.00166297887378868	0.0326	0.0176	0.0256	0.0256	TRUE	0.4322
CNAG_00038	2337	1604	1964	1446	2211	1296	1657	1952	2222	1591	1759	1540	1786.74	1944	1630	0.839	-0.252	0.0829624615130337	0.213011519520736	0.0122	0.0175	0.0147	0.0147	TRUE	0.1769
CNAG_00039	2422	1407	1503	1841	2858	1841	1718	1712	1701	2025	2274	2188	1936.03	1710	2162	1.265	0.339	0.000658738493075098	0.00561957793715134	0.0014	0.0173	0.0066	0.0066	TRUE	0.0372
CNAG_00040	10003	7018	6308	4982	7598	4745	7093	8538	7137	5480	6045	5638	6655.33	7589	5721	0.754	-0.407	0.000592048581494753	0.00519440294915578	0.0069	0.0154	0.01	0.01	TRUE	0.1456
CNAG_00043	2237	1489	1457	1352	1708	1204	1586	1812	1649	1487	1359	1431	1553.84	1682	1426	0.848	-0.238	0.0312207717053363	0.106455140123475	0.0028	0.018	0.0082	0.0082	TRUE	0.0541
CNAG_00044	7006	4212	3518	3648	4629	3230	4968	5125	3981	4013	3683	3838	4267.74	4691	3845	0.819	-0.287	0.028944824923814	0.101135395483414	0.0093	0.0158	0.0122	0.0122	TRUE	0.2132
CNAG_00045	637	342	348	440	457	282	452	416	394	484	364	335	407.37	421	394	0.936	-0.095	0.610010324087311	0.764994455983754	0.0186	0.0276	0.0226	0.0226	TRUE	0.4495
CNAG_00046	9032	6213	6430	4841	6622	4412	6405	7559	7275	5325	5268	5242	6179.13	7080	5278	0.746	-0.423	4.84073644290183e-05	0.000683955719911671	0.0034	0.0154	0.0076	0.0076	TRUE	0.0855
CNAG_00047	2334	1527	1199	1004	1340	815	1655	1858	1357	1104	1066	968	1334.73	1623	1046	0.645	-0.633	3.14868652294007e-05	0.000476660535682579	0.0131	0.0185	0.0159	0.0159	TRUE	0.2132
CNAG_00048	220	103	102	137	172	102	156	125	115	151	137	121	134.24	132	136	1.025	0.036	0.875173979293557	0.934124949255415	0.0118	0.054	0.0305	0.0305	TRUE	0.2815
CNAG_00049	554	180	284	369	465	328	393	219	321	406	370	390	349.79	311	389	1.244	0.315	0.168146762026847	0.343050443353627	0.0392	0.0297	0.0346	0.0346	TRUE	0.3748
CNAG_00050	1887	1444	1276	1222	1862	1159	1338	1757	1444	1344	1481	1377	1456.89	1513	1401	0.927	-0.109	0.440429705510676	0.632569729515758	0.0106	0.0182	0.0137	0.0137	TRUE	0.2379
CNAG_00051	5699	3768	3958	4104	5899	4221	4041	4584	4478	4514	4693	5015	4554.46	4368	4741	1.086	0.119	0.256217450378552	0.445898575434267	0.0033	0.0157	0.0076	0.0076	TRUE	0.0527
CNAG_00052	6657	2888	2204	1556	1352	834	4721	3514	2494	1712	1076	991	2417.71	3576	1260	0.352	-1.506	2.14467296755687e-08	7.65535371893195e-07	0.0967	0.0168	0.0516	0.0516	TRUE	0.1328
CNAG_00053	1029	536	638	831	1070	750	730	652	722	914	851	891	793.36	701	885	1.261	0.334	0.00434117459293888	0.02441280770258	0.0011	0.0212	0.0086	0.0086	TRUE	0.0429
CNAG_00054	2232	1535	1035	771	885	574	1583	1868	1171	848	704	682	1142.6	1541	745	0.483	-1.049	8.57883083020606e-08	2.7061223576957e-06	0.0317	0.0192	0.0266	0.0266	TRUE	0.1694
CNAG_00055	3249	1921	2104	2526	3492	2297	2304	2337	2381	2779	2778	2729	2551.28	2341	2762	1.18	0.239	0.00504968362404339	0.0274663263584421	0	0.0166	0.0048	0.0048	TRUE	0.0027
CNAG_00056	3097	1789	1641	1459	2013	1426	2196	2177	1857	1605	1601	1694	1855.04	2077	1633	0.786	-0.347	0.00277229388885902	0.0171391952180874	0.0039	0.0174	0.0091	0.0091	TRUE	0.103
CNAG_00057	37458	16754	10906	11427	13019	8826	26562	20384	12340	12569	10357	10487	15450	19762	11138	0.564	-0.827	0.000782874652600169	0.006427912704521	0.0712	0.0149	0.0437	0.0437	TRUE	0.1621
CNAG_00058	12793	7207	7929	7820	10411	6971	9072	8768	8971	8602	8282	8283	8663.18	8937	8389	0.939	-0.091	0.248933090310193	0.439018850167732	2e-04	0.0152	0.0044	0.0044	TRUE	0.006
