Id	WT30_a	WT30_b	WT30_c	SDS_a	SDS_b	SDS_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.SDS_a	norm.SDS_b	norm.SDS_c	baseMean	WT	SDS	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_06294	2451	1613	1601	397	576	325	1738	1962	1811	437	458	386	1132.19	1837	427	0.233	-2.102	1.06907869924752e-61	9.06311467287081e-59	0.0035	0.0192	0.0101	0.0101	TRUE	0.0783
CNAG_02925	16897	10787	11209	5258	6344	4853	11982	13124	12683	5784	5047	5766	9064.32	12596	5532	0.439	-1.187	7.6958053017729e-30	2.08771806226495e-27	0.0037	0.0152	0.0078	0.0078	TRUE	0.0723
CNAG_00735	3578	2536	2314	957	1379	777	2537	3085	2618	1053	1097	923	1885.65	2747	1024	0.373	-1.422	3.94778977726718e-26	8.92463675647535e-24	0.0087	0.0174	0.0123	0.0123	TRUE	0.1402
CNAG_02418	22758	12686	14197	8938	11770	8066	16138	15434	16064	9831	9364	9584	12735.95	15879	9593	0.604	-0.727	1.50082358558861e-19	2.36711292033998e-17	5e-04	0.015	0.0046	0.0046	TRUE	0.0073
CNAG_01803	14432	9947	6283	2059	3777	2510	10234	12102	7109	2265	3005	2982	6282.88	9815	2751	0.28	-1.835	2.06735167917155e-18	3.11572868625366e-16	0.0444	0.0154	0.0314	0.0314	TRUE	0.158
CNAG_01493	5593	3053	2934	1324	2185	1550	3966	3714	3320	1456	1738	1842	2672.79	3667	1679	0.458	-1.127	1.97035159072587e-16	2.56099898891531e-14	0.0104	0.0166	0.0131	0.0131	TRUE	0.161
CNAG_01464	161788	89661	40884	14245	25030	14019	114728	109086	46259	15669	19913	16658	53718.88	90024	17413	0.193	-2.37	3.02037562510802e-16	3.72439772536047e-14	0.0972	0.0147	0.0606	0.0606	TRUE	2.2149
CNAG_04217	18622	9939	6973	3539	4744	3115	13205	12092	7890	3893	3774	3701	7425.94	11062	3789	0.343	-1.546	5.24176834075211e-16	6.23678471701417e-14	0.0322	0.0153	0.026	0.026	TRUE	0.6733
CNAG_06075	93937	62397	51263	31582	37350	24531	66613	75916	58003	34739	29714	29148	49022.15	66844	31200	0.467	-1.099	4.00133362911389e-15	4.52284077877507e-13	0.0138	0.0147	0.0141	0.0141	TRUE	0.1097
CNAG_00247	4517	1907	1659	620	1144	580	3203	2320	1877	682	910	689	1613.61	2467	760	0.308	-1.697	9.88923424118203e-15	1.04794979099526e-12	0.0507	0.0179	0.0338	0.0338	TRUE	0.2184
