Id	WT30_a	WT30_b	WT30_c	SDS_a	SDS_b	SDS_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.SDS_a	norm.SDS_b	norm.SDS_c	baseMean	WT	SDS	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_02933	2436	1325	1445	31825	35348	26371	1727	1612	1635	35006	28121	31335	16572.77	1658	31487	18.981	4.247	5.25902217157722e-281	3.56666883676367e-277	0.0062	0.0149	0.0098	0.0098	TRUE	0.0611
CNAG_07799	2438	1474	1336	8828	12338	8800	1729	1793	1512	9710	9815	10456	5836.03	1678	9994	5.955	2.574	1.03310439466952e-122	3.50325700232434e-119	0.0042	0.0155	0.0083	0.0083	TRUE	0.0894
CNAG_03713	417	340	334	4512	8653	5598	296	414	378	4963	6884	6652	3264.31	363	6166	17.071	4.093	6.45408195242122e-110	1.45905279337736e-106	0.0262	0.0162	0.0229	0.0229	TRUE	0.3552
CNAG_03061	3879	2403	2858	15322	26365	16706	2751	2924	3234	16854	20975	19850	11097.81	2970	19226	6.477	2.695	2.52843671415955e-97	4.28696444885751e-94	0.0092	0.0151	0.0117	0.0117	TRUE	0.1425
CNAG_01272	5000	2559	2232	26258	30894	22418	3546	3113	2525	28883	24578	26638	14880.45	3061	26700	8.717	3.124	4.33054449838328e-95	5.87395055760708e-92	0.017	0.0149	0.0162	0.0162	TRUE	0.2847
CNAG_05602	18106	8580	9596	46887	64433	44626	12839	10439	10858	51574	51260	53026	31665.89	11379	51953	4.565	2.191	3.63924362046043e-82	4.11355837232711e-79	0.0064	0.0147	0.0093	0.0093	TRUE	0.1546
CNAG_03060	3865	2062	1645	13968	19588	12209	2741	2509	1861	15364	15583	14507	8760.89	2370	15151	6.389	2.676	2.81848503852235e-64	2.73070936160837e-61	0.0188	0.0152	0.0178	0.0178	TRUE	0.4264
CNAG_02049	270	101	96	1325	1722	1357	191	123	109	1457	1370	1612	810.46	141	1480	10.386	3.377	3.68403239097584e-54	2.77612307506646e-51	0.0414	0.0211	0.0303	0.0303	TRUE	1.1108
CNAG_00869	1754	1283	1088	6080	11907	6467	1244	1561	1231	6688	9473	7684	4646.74	1345	7948	5.912	2.564	1.90009005973667e-51	1.28864107851341e-48	0.0248	0.0157	0.0204	0.0204	TRUE	0.1474
CNAG_05430	1194	636	639	2528	4526	2687	847	774	723	2781	3601	3193	1986.27	781	3192	4.082	2.029	1.55861721559568e-46	9.6095835965181e-44	0.0102	0.0172	0.0137	0.0137	TRUE	0.0724
