Id	WT30_a	WT30_b	WT30_c	WT37_a	WT37_b	WT37_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WT37_a	norm.WT37_b	norm.WT37_c	baseMean	WT	WT37	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_00002	863	812	948	466	560	632	863	812	948	466	560	632	713.5	874	553	0.632	-0.662	0.0700648807458129	0.810308101826944	0.0122	0.1455	0.0947	0.0947	TRUE	0.2206
CNAG_00003	618	344	407	314	391	577	618	344	407	314	391	577	441.83	456	427	0.936	-0.095	0.823776003810281	0.999999471897794	0.091	0.1485	0.1281	0.1281	TRUE	0.7605
CNAG_00004	1675	1301	1408	928	849	1300	1675	1301	1408	928	849	1300	1243.5	1461	1026	0.702	-0.511	0.176052096305454	0.999999471897794	0.035	0.1434	0.1019	0.1019	TRUE	0.6547
CNAG_00005	1313	808	902	1013	1041	1596	1313	808	902	1013	1041	1596	1112.17	1008	1217	1.207	0.272	0.497918646047395	0.999999471897794	0.068	0.1437	0.1151	0.1151	TRUE	0.893
CNAG_00006	9114	4985	5180	5886	4342	5841	9114	4985	5180	5886	4342	5841	5891.33	6426	5356	0.833	-0.263	0.51334584191422	0.999999471897794	0.0789	0.1412	0.1163	0.1163	TRUE	1.6335
CNAG_00007	6404	3866	4440	2427	3481	4681	6404	3866	4440	2427	3481	4681	4216.5	4903	3530	0.72	-0.474	0.248363759466152	0.999999471897794	0.0875	0.1414	0.1214	0.1214	TRUE	0.3129
CNAG_00008	4567	2516	2576	1918	2354	3411	4567	2516	2576	1918	2354	3411	2890.33	3220	2561	0.795	-0.33	0.432339222062255	0.999999471897794	0.1087	0.1418	0.1271	0.1271	TRUE	1.4157
CNAG_00009	2213	1438	1498	667	1070	1632	2213	1438	1498	667	1070	1632	1419.67	1716	1123	0.654	-0.612	0.159811227091411	0.999999471897794	0.1236	0.143	0.1359	0.1359	TRUE	0.4681
CNAG_00010	2386	1388	1909	608	2063	3690	2386	1388	1909	608	2063	3690	2007.33	1894	2120	1.119	0.163	0.765097805229964	0.999999471897794	0.3641	0.1423	0.2129	0.2129	TRUE	0.1917
CNAG_00011	2015	1232	1419	1864	1457	1746	2015	1232	1419	1864	1457	1746	1622.17	1555	1689	1.086	0.119	0.754997020204575	0.999999471897794	0.0399	0.1427	0.1041	0.1041	TRUE	0.8059
CNAG_00012	4209	1623	1757	2388	1725	2373	4209	1623	1757	2388	1725	2373	2345.83	2530	2162	0.855	-0.227	0.617653330651632	0.999999471897794	0.1714	0.1421	0.1481	0.1481	TRUE	4.0912
CNAG_00013	1656	618	802	1017	852	1175	1656	618	802	1017	852	1175	1020	1025	1015	0.99	-0.015	0.973139814659862	0.999999471897794	0.1431	0.144	0.1437	0.1437	TRUE	2.1373
CNAG_00014	976	778	818	467	447	615	976	778	818	467	447	615	683.5	857	510	0.594	-0.75	0.0438740821782666	0.669376485048695	0.0213	0.1457	0.0983	0.0983	TRUE	0.3817
CNAG_00015	439	321	431	365	243	315	439	321	431	365	243	315	352.33	397	308	0.775	-0.368	0.346026166508324	0.999999471897794	0.0322	0.1505	0.1069	0.1069	TRUE	0.383
CNAG_00016	4643	2520	2882	2695	2438	2563	4643	2520	2882	2695	2438	2563	2956.83	3348	2565	0.766	-0.384	0.324110920748568	0.999999471897794	0.0583	0.1418	0.1091	0.1091	TRUE	1.3912
