Id	WT30_a	WT30_b	WT30_c	WT37_a	WT37_b	WT37_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WT37_a	norm.WT37_b	norm.WT37_c	baseMean	WT	WT37	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_02701	11899	6949	11101	887	339	399	11899	6949	11101	887	339	399	5262.33	9983	542	0.054	-4.204	6.32827358691563e-20	4.28107708154843e-16	0.1879	0.1413	0.1515	0.1515	TRUE	3.1383
CNAG_02691	6098	3233	6060	488	554	810	6098	3233	6060	488	554	810	2873.83	5130	617	0.12	-3.055	2.6105212843835e-13	8.8300882444272e-10	0.0879	0.1418	0.1249	0.1249	TRUE	1.276
CNAG_00735	3578	2536	2314	389	326	564	3578	2536	2314	389	326	564	1617.83	2809	426	0.152	-2.72	1.13621490405597e-11	2.5621646086462e-08	0.0687	0.1427	0.1144	0.1144	TRUE	0.9234
CNAG_06294	2451	1613	1601	384	170	297	2451	1613	1601	384	170	297	1086	1888	284	0.15	-2.735	1.85347029067668e-10	2.50774530328555e-07	0.1022	0.1438	0.1307	0.1307	TRUE	1.3834
CNAG_01368	528	600	1026	151	85	92	528	600	1026	151	85	92	413.67	718	109	0.152	-2.715	7.89163328756956e-10	7.80895936075188e-07	0.1091	0.149	0.1353	0.1353	TRUE	1.1354
CNAG_02674	2422	1602	1846	472	327	457	2422	1602	1846	472	327	457	1187.67	1957	419	0.214	-2.225	7.33878695648916e-09	6.20586172008114e-06	0.0391	0.1435	0.1052	0.1052	TRUE	0.2473
CNAG_02561	4022	3511	3842	800	838	1250	4022	3511	3842	800	838	1250	2377.17	3792	963	0.254	-1.978	1.31881523161817e-07	8.11071367445174e-05	0.035	0.1421	0.1006	0.1006	TRUE	0.8141
CNAG_00813	547	603	1047	210	107	122	547	603	1047	210	107	122	439.33	732	146	0.2	-2.323	2.04678892496578e-07	0.000115387725644946	0.1237	0.1485	0.14	0.14	TRUE	1.6737
CNAG_01803	14432	9947	6283	2880	1245	2040	14432	9947	6283	2880	1245	2040	6137.83	10221	2055	0.201	-2.314	3.55265955501662e-07	0.000160224945931249	0.1584	0.1412	0.1486	0.1486	TRUE	0.0876
CNAG_00861	351	238	226	61	52	83	351	238	226	61	52	83	168.5	272	65	0.24	-2.056	1.63300628540171e-06	0.000552364376037127	0.0505	0.1613	0.123	0.123	TRUE	0.7321
CNAG_03859	6778	5146	5111	1069	1434	2108	6778	5146	5111	1069	1434	2108	3607.67	5678	1537	0.271	-1.885	2.53974024029251e-06	0.000747014901112122	0.0723	0.1416	0.1153	0.1153	TRUE	1.2732
