Id	WT30_a	WT30_b	WT30_c	WT37_a	WT37_b	WT37_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WT37_a	norm.WT37_b	norm.WT37_c	baseMean	WT	WT37	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_03461	566	349	472	2274	2371	3148	566	349	472	2274	2371	3148	1530	462	2598	5.619	2.49	1.05924306464936e-10	1.79144483308824e-07	0.0428	0.1429	0.1059	0.1059	TRUE	0.5344
CNAG_05258	6581	3164	3270	28315	22364	25793	6581	3164	3270	28315	22364	25793	14914.5	4338	25491	5.876	2.555	8.08022402442914e-10	7.80895936075188e-07	0.1069	0.1408	0.1245	0.1245	TRUE	1.7132
CNAG_00870	343	101	152	3000	965	1134	343	101	152	3000	965	1134	949.17	199	1700	8.555	3.097	1.61747074004421e-08	1.2157988395999e-05	0.3648	0.1443	0.2138	0.2138	TRUE	3.4185
CNAG_05168	137	76	100	1185	432	469	137	76	100	1185	432	469	399.83	104	695	6.665	2.737	2.14411064988995e-08	1.45049085465055e-05	0.2012	0.1493	0.1666	0.1666	TRUE	4.4879
CNAG_05256	3387	2107	2176	13410	8322	10035	3387	2107	2176	13410	8322	10035	6572.83	2557	10589	4.142	2.05	2.3059289491025e-07	0.000119996994928295	0.0692	0.1411	0.113	0.113	TRUE	0.285
CNAG_07663	19	22	23	111	115	105	19	22	23	111	115	105	65.83	21	110	5.172	2.371	3.33124479581927e-07	0.000160224945931249	0	0.1936	0.1275	0.1275	TRUE	0.0516
CNAG_02497	114	59	79	271	406	502	114	59	79	271	406	502	238.5	84	393	4.679	2.226	4.84834059009703e-07	0.00020499390057504	0.0921	0.1552	0.1338	0.1338	TRUE	0.1414
CNAG_06546	35	24	48	120	191	283	35	24	48	120	191	283	116.83	36	198	5.551	2.473	5.27614332613028e-07	0.000209959468242773	0.1337	0.1705	0.1586	0.1586	TRUE	0.0922
CNAG_05458	1059	538	427	3090	2647	2985	1059	538	427	3090	2647	2985	1791	675	2907	4.309	2.107	9.9119318139174e-07	0.000372523437339729	0.1269	0.1425	0.1328	0.1328	TRUE	2.9336
CNAG_07827	10	6	7	60	45	64	10	6	7	60	45	64	32	8	56	7.348	2.877	1.35481271229382e-06	0.000482384631508827	0	0.2496	0.1815	0.1815	TRUE	0.2628
CNAG_03719	318	194	254	922	761	1131	318	194	254	922	761	1131	596.67	255	938	3.674	1.877	2.00570840088896e-06	0.000646124634857802	0.0453	0.1464	0.1099	0.1099	TRUE	0.1498
CNAG_05582	156	106	133	549	386	466	156	106	133	549	386	466	299.33	132	467	3.547	1.827	3.76300984565229e-06	0.000999150724442126	0.0288	0.1522	0.1076	0.1076	TRUE	0.095
