Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_00002	863	812	948	68	55	58	332	540	586	112	104	119	298.75	486	112	0.23	-2.122	1.57198154692655e-16	1.7579734230233e-15	0.0501	0.03	0.0388	0.0388	TRUE	0.8364
CNAG_00003	618	344	407	112	94	113	238	229	252	184	178	231	218.55	240	198	0.824	-0.279	0.152870125780386	0.214492928035957	1e-04	0.0358	0.0216	0.0216	TRUE	0.2069
CNAG_00004	1675	1301	1408	809	621	537	644	865	870	1332	1174	1099	997.35	793	1202	1.517	0.601	0.000295336929858157	0.00078644336882072	0.0185	0.019	0.0188	0.0188	TRUE	0.3314
CNAG_00005	1313	808	902	8	14	9	505	537	558	13	26	18	276.33	533	19	0.036	-4.801	1.37655375972135e-53	8.55862828406565e-52	0.0018	0.0313	0.0211	0.0211	TRUE	0.3834
CNAG_00006	9114	4985	5180	1588	1448	1291	3505	3316	3202	2614	2738	2641	3002.54	3341	2664	0.797	-0.327	0.0018736177340162	0.00429550317436664	0.0013	0.0159	0.0075	0.0075	TRUE	0.0228
CNAG_00007	6404	3866	4440	1028	837	865	2463	2571	2744	1692	1582	1770	2137.15	2593	1681	0.648	-0.625	6.48286967430989e-08	3.07879521953736e-07	0.0023	0.0165	0.009	0.009	TRUE	0.0318
CNAG_00008	4567	2516	2576	764	697	580	1757	1673	1592	1257	1318	1187	1464	1674	1254	0.749	-0.417	0.00041491845383993	0.0010720176750565	0.0018	0.0175	0.0091	0.0091	TRUE	0.0254
CNAG_00009	2213	1438	1498	342	277	235	851	956	926	563	524	481	716.81	911	523	0.574	-0.8	1.1337730645343e-08	5.92868831662726e-08	0.003	0.0209	0.0121	0.0121	TRUE	0.0534
CNAG_00010	2386	1388	1909	781	607	552	918	923	1180	1285	1148	1129	1097.2	1007	1187	1.18	0.239	0.116597465946539	0.169785351680209	0.0123	0.0186	0.0157	0.0157	TRUE	0.2718
CNAG_00011	2015	1232	1419	1570	1288	1178	775	819	877	2584	2435	2410	1650.13	824	2476	3.008	1.589	1.45582224222369e-42	5.7361089160174e-41	0.0021	0.0171	0.009	0.009	TRUE	0.0386
CNAG_00012	4209	1623	1757	591	596	514	1619	1079	1086	973	1127	1052	1155.9	1261	1051	0.832	-0.266	0.153601057907573	0.21542929831118	0.0315	0.0184	0.0239	0.0239	TRUE	0.7498
CNAG_00013	1656	618	802	490	435	436	637	411	496	807	822	892	677.43	515	840	1.63	0.705	0.000137843984938754	0.000388751013703676	0.0237	0.0212	0.023	0.023	TRUE	0.5253
CNAG_00014	976	778	818	301	255	220	375	517	506	495	482	450	471.01	466	476	1.023	0.033	0.853799420938401	0.888073858752829	0.0166	0.0243	0.0206	0.0206	TRUE	0.3553
CNAG_00015	439	321	431	340	282	238	169	213	266	560	533	487	371.41	216	527	2.443	1.289	2.25975949751827e-10	1.4844018392594e-09	0.0264	0.0269	0.0267	0.0267	TRUE	0.4746
CNAG_00016	4643	2520	2882	595	482	579	1786	1676	1781	979	911	1185	1386.39	1748	1025	0.586	-0.771	3.04073503481398e-08	1.50416506065214e-07	0.0074	0.0177	0.0129	0.0129	TRUE	0.2135
CNAG_00017	1259	724	639	334	310	285	484	482	395	550	586	583	513.27	454	573	1.262	0.336	0.0295545461734865	0.0505275376936725	0.0064	0.0234	0.0149	0.0149	TRUE	0.15
CNAG_00018	3597	1895	2261	772	682	539	1383	1260	1398	1271	1289	1103	1284.02	1347	1221	0.907	-0.141	0.269078645175037	0.345368556505914	0.0039	0.018	0.0108	0.0108	TRUE	0.0831
CNAG_00019	6121	3814	4727	952	818	737	2354	2537	2922	1567	1546	1508	2072.32	2604	1540	0.592	-0.757	4.03674335675612e-09	2.25904291731926e-08	0.0065	0.0166	0.0112	0.0112	TRUE	0.1386
CNAG_00020	3982	1549	1522	788	758	618	1532	1030	941	1297	1433	1264	1249.49	1168	1331	1.14	0.188	0.331743327157032	0.412442584506183	0.0367	0.0181	0.0262	0.0262	TRUE	0.9075
