Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_02701	11899	6949	11101	127	113	112	4576	4622	6862	209	214	229	2785.28	5353	217	0.041	-4.624	7.32182533184204e-126	3.10125064211834e-123	0.0274	0.016	0.0227	0.0227	TRUE	0.7418
CNAG_02331	108122	58952	66064	4403	4245	3837	41585	39209	40834	7247	8025	7850	24125.19	40543	7707	0.19	-2.395	6.30484032580269e-125	2.51340605223323e-122	0.0017	0.0145	0.0072	0.0072	TRUE	0.0334
CNAG_06150	104821	58435	65984	5282	4638	4361	40315	38865	40785	8694	8768	8922	24391.68	39988	8795	0.22	-2.185	1.30229429105048e-123	4.90313800580505e-121	3e-04	0.0145	0.006	0.006	TRUE	0.0074
CNAG_01628	53286	29274	31545	2117	1963	1957	20494	19470	19498	3484	3711	4004	11777.03	19821	3733	0.188	-2.409	6.55957318640423e-113	2.22271137421307e-110	0.0026	0.0147	0.0079	0.0079	TRUE	0.0485
CNAG_01951	74577	41966	42873	3835	3393	3297	28683	27912	26500	6312	6415	6746	17094.51	27698	6491	0.234	-2.093	2.32643265408809e-99	6.06393619105961e-97	0.0013	0.0146	0.0069	0.0069	TRUE	0.0175
CNAG_04114	73681	40495	48326	3268	3105	2438	28338	26933	29871	5379	5870	4988	16896.56	28381	5412	0.191	-2.39	9.129049989852e-99	2.29139154745285e-96	0.0045	0.0146	0.0091	0.0091	TRUE	0.0663
CNAG_02928	97025	53773	54728	4500	4179	4041	37317	35765	33828	7407	7901	8268	21747.33	35637	7859	0.22	-2.181	7.86310966394004e-96	1.83752738594902e-93	0.0026	0.0145	0.0078	0.0078	TRUE	0.0309
CNAG_06811	54492	29809	35826	2286	2056	2160	20958	19826	22144	3763	3887	4419	12499.54	20976	4023	0.192	-2.383	5.43478424004509e-94	1.18811396112212e-91	0.0051	0.0147	0.0094	0.0094	TRUE	0.0895
CNAG_04021	45314	25496	28483	2259	2205	2037	17428	16957	17605	3718	4169	4168	10674.26	17330	4018	0.232	-2.109	8.64907941283064e-91	1.83171284939854e-88	0.002	0.0147	0.0076	0.0076	TRUE	0.0521
CNAG_01170	83369	49301	52474	4511	4169	4133	32064	32790	32434	7425	7882	8456	20175.27	32429	7921	0.244	-2.034	4.30860794655792e-88	8.34269601537801e-86	0.0021	0.0145	0.0074	0.0074	TRUE	0.0425
