Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_00979	1545	756	829	14123	12079	12762	594	503	512	23245	22836	26111	12300.24	536	24064	44.785	5.485	0	0	0.0057	0.0147	0.0105	0.0105	TRUE	0.1093
CNAG_04307	1645	1181	1059	27914	20524	15098	633	785	655	45944	38802	30890	19618.12	691	38545	55.825	5.803	2.92997670112325e-263	9.92822605175612e-260	0.0251	0.0145	0.0198	0.0198	TRUE	0.0547
CNAG_06817	858	366	318	9034	6770	6241	330	243	197	14869	12799	12769	6867.86	257	13479	52.332	5.71	8.70752059467164e-212	1.96702890233632e-208	0.0358	0.015	0.0232	0.0232	TRUE	0.7532
CNAG_03806	2502	1470	1486	4660	3954	3557	962	978	919	7670	7475	7278	4213.54	953	7474	7.844	2.972	4.75600332753342e-190	8.05785863767349e-187	0	0.0154	0.0069	0.0069	TRUE	0.0118
CNAG_06102	202	86	70	1693	1469	1576	78	57	43	2787	2777	3224	1494.39	59	2929	48.674	5.605	4.12395966418803e-178	5.58961492884046e-175	0.0334	0.0174	0.0231	0.0231	TRUE	0.8216
CNAG_02934	436	265	299	1602	1206	1132	168	176	185	2637	2280	2316	1293.59	176	2411	13.706	3.777	1.10272856500879e-176	1.24553191417743e-173	0	0.0179	0.0109	0.0109	TRUE	0.0815
CNAG_00586	1671	1041	745	7346	6416	5977	643	692	460	12091	12130	12229	6374.17	598	12150	20.294	4.343	9.99085709389532e-165	9.67257693218979e-162	0.0195	0.015	0.0176	0.0176	TRUE	0.4815
CNAG_01090	1287	666	847	3971	3690	4248	495	443	524	6536	6976	8691	3944.14	487	7401	15.185	3.925	3.95724758821274e-155	3.35228336316472e-152	0.0137	0.0155	0.0151	0.0151	TRUE	0.2826
CNAG_02049	270	101	96	1695	1640	1621	104	67	59	2790	3101	3317	1572.87	77	3069	39.487	5.303	1.2415538233758e-152	9.34890029001974e-150	0.0416	0.0173	0.0254	0.0254	TRUE	1.0842
CNAG_04025	244	91	109	1018	990	869	94	61	67	1676	1872	1778	924.48	74	1775	23.721	4.568	1.28848087694484e-139	8.73203490305517e-137	0.0193	0.0194	0.0196	0.0196	TRUE	0.64
CNAG_03230	353	254	231	1041	874	805	136	169	143	1713	1652	1647	910.04	149	1671	11.248	3.492	3.35353987536415e-134	2.06608543048571e-131	0.0016	0.0195	0.0121	0.0121	TRUE	0.144
CNAG_03385	4104	2487	2391	6797	6491	5104	1578	1654	1478	11187	12272	10443	6435.33	1570	11301	7.198	2.847	9.54149983534997e-133	5.38856203201389e-130	0.0044	0.015	0.0095	0.0095	TRUE	0.0688
CNAG_00876	471	277	287	923	785	749	181	184	177	1519	1484	1532	846.41	181	1512	8.357	3.063	6.35308202644369e-131	3.31191053024684e-128	0	0.0198	0.0093	0.0093	TRUE	0.0031
CNAG_05641	128	105	63	980	881	1025	49	70	39	1613	1666	2097	922.28	53	1792	34.188	5.095	1.40786118715436e-129	6.8150537609608e-127	0.0409	0.0194	0.0262	0.0262	TRUE	0.7021
CNAG_05356	73	42	50	1088	853	506	28	28	31	1791	1613	1035	754.26	29	1480	51.178	5.677	2.97749171692763e-126	1.3452307577079e-123	0.0453	0.0205	0.0306	0.0306	TRUE	0.2957
CNAG_03233	339	206	269	1057	868	741	130	137	166	1740	1641	1516	888.41	144	1632	11.327	3.502	1.25008657726318e-117	4.45886143900662e-115	0.0072	0.0196	0.0141	0.0141	TRUE	0.1893
CNAG_02176	3562	1747	1792	5020	4699	4047	1370	1162	1108	8263	8884	8280	4844.3	1213	8476	6.981	2.803	8.67791194831541e-112	2.80048615589207e-109	0.0067	0.0153	0.0109	0.0109	TRUE	0.1571
