"Chr"	"start_max"	"end_max"	"Id"	"score"	"strand"	"condition"	"Cluster_Shape"
"1...1"	1	40166	40296	"CNAG_00011"	0	"+"	"STAT 30"	"Broad"
"1...2"	1	53175	53305	"CNAG_00016"	0	"+"	"EXPO 30"	"Broad"
"2...3"	1	53175	53305	"CNAG_00016b"	0	"+"	"STAT 30"	"Broad"
"1...4"	1	53175	53305	"CNAG_00016bc"	0	"+"	"EXPO 37"	"Broad"
"1...5"	1	53175	53305	"CNAG_00016bcd"	0	"+"	"STAT 37"	"Broad"
"2...6"	1	73431	73561	"CNAG_00024"	0	"+"	"EXPO 30"	"Broad"
"3...7"	1	73431	73561	"CNAG_00024b"	0	"+"	"STAT 30"	"Sharp"
"3...8"	1	100964	101094	"CNAG_00034"	0	"+"	"EXPO 30"	"NA"
"4...9"	1	100964	101094	"CNAG_00034b"	0	"+"	"STAT 30"	"NA"
"2...10"	1	100964	101094	"CNAG_00034bc"	0	"+"	"EXPO 37"	"NA"
"2...11"	1	100964	101094	"CNAG_00034bcd"	0	"+"	"STAT 37"	"NA"
"283...12"	1	141949	142079	"CNAG_00047"	0	"-"	"STAT 37"	"Broad"
"5...13"	1	154181	154311	"CNAG_00052"	0	"+"	"STAT 30"	"NA"
"3...14"	1	154176	154306	"CNAG_00052b"	0	"+"	"EXPO 37"	"Sharp"
"3...15"	1	154181	154311	"CNAG_00052bc"	0	"+"	"STAT 37"	"Broad"
"349...16"	1	163172	163302	"CNAG_00057"	0	"-"	"EXPO 30"	"Sharp"
"351...17"	1	163172	163302	"CNAG_00057b"	0	"-"	"STAT 30"	"NA"
"264...18"	1	163172	163302	"CNAG_00057bc"	0	"-"	"EXPO 37"	"Sharp"
"284...19"	1	163172	163302	"CNAG_00057bcd"	0	"-"	"STAT 37"	"NA"
"350...20"	1	166155	166285	"CNAG_00058"	0	"-"	"EXPO 30"	"NA"
"285...21"	1	166155	166285	"CNAG_00058b"	0	"-"	"STAT 37"	"Broad"
"351...22"	1	169011	169141	"CNAG_00060"	0	"-"	"EXPO 30"	"Sharp"
"352...23"	1	169011	169141	"CNAG_00060b"	0	"-"	"STAT 30"	"Sharp"
"265...24"	1	169011	169141	"CNAG_00060bc"	0	"-"	"EXPO 37"	"Sharp"
"286...25"	1	169011	169141	"CNAG_00060bcd"	0	"-"	"STAT 37"	"Sharp"
"4...26"	1	169186	169316	"CNAG_00061"	0	"+"	"EXPO 30"	"NA"
"6...27"	1	169186	169316	"CNAG_00061b"	0	"+"	"STAT 30"	"NA"
"4...28"	1	169186	169316	"CNAG_00061bc"	0	"+"	"EXPO 37"	"NA"
